site,habitat
Los Gemelos,natural
Los Manzanillos,natural
Kelvin Gaona,fruit_vegetable
Rosa Calva,fruit_vegetable
Carmen Ramon,fruit_vegetable
Mario Piu,coffee
Peter Schiess,pasture
Patricia Ortiz,pasture
Miguel Ramon,pasture
Cerro Mesa,natural
Quiman Valle,pasture
Maria Elena Guerra,coffee
Reina Oleas,coffee
Ana Chapi,coffee
Efren Herrera,pasture
Robert Christen,coffee
Clemente Troya,fruit_vegetable
Barranco,arid
